"統計期","發生件數/總計[件]","發生件數/強制性交[件]","發生件數/強盜搶奪[件]","發生件數/其他[件]","發生率[件/十萬人]","嫌疑犯[人]","犯罪人口率[人/十萬人]","破獲件數/總計[件]","破獲件數/當期[件]","破獲件數/積案[件]","破獲件數/他轄[件]","破獲率[%]"
"106年 1月",20,11,5,2,0.74,24,0.89,18,12,6,0,90.00
"106年 2月",13,4,3,6,0.48,22,0.82,13,8,5,0,100.00
"106年 3月",16,5,3,8,0.59,30,1.11,16,8,7,1,100.00
"106年 4月",14,5,4,5,0.52,17,0.63,13,9,4,0,92.86
"106年 5月",16,5,4,6,0.59,33,1.23,18,12,6,0,112.50
"106年 6月",14,3,6,5,0.52,16,0.59,13,9,4,0,92.86
"106年 7月",15,4,9,2,0.56,20,0.74,16,12,4,0,106.67
"106年 8月",14,5,5,4,0.52,17,0.63,18,9,8,1,128.57
"106年 9月",10,1,3,6,0.37,22,0.82,13,10,3,0,130.00
"106年 10月",20,3,10,7,0.75,27,1.01,16,15,1,0,80.00
"106年 11月",6,1,2,3,0.22,16,0.60,6,5,1,0,100.00
"106年 12月",6,1,1,4,0.22,10,0.37,6,4,2,0,100.00
"107年 1月",16,1,5,10,0.60,31,1.16,16,12,3,1,100.00
"107年 2月",6,2,3,1,0.22,12,0.45,7,6,1,0,116.67
"107年 3月",12,4,4,4,0.45,16,0.60,12,11,1,0,100.00
"107年 4月",10,5,1,4,0.37,8,0.30,6,4,2,0,60.00
"107年 5月",15,0,4,11,0.56,56,2.09,16,7,8,1,106.67
"107年 6月",9,0,3,6,0.34,34,1.27,12,11,1,0,133.33
"107年 7月",13,5,2,6,0.49,17,0.64,10,10,0,0,76.92
"107年 8月",7,3,0,4,0.26,17,0.64,10,9,1,0,142.86
"107年 9月",10,0,1,9,0.37,28,1.05,11,9,2,0,110.00
"107年 10月",13,2,1,10,0.49,29,1.09,10,6,4,0,76.92
"107年 11月",14,0,7,7,0.52,15,0.56,12,10,2,0,85.71
"107年 12月",5,1,2,2,0.19,11,0.41,8,3,4,1,160.00
"108年 1月",10,1,5,4,0.37,11,0.41,10,6,4,0,100.00
"108年 2月",5,0,1,4,0.19,9,0.34,6,4,2,0,120.00
"108年 3月",13,0,6,7,0.49,12,0.45,10,10,0,0,76.92
"108年 4月",8,1,1,6,0.30,27,1.01,10,4,6,0,125.00
"108年 5月",8,2,1,5,0.30,17,0.64,6,3,3,0,75.00
"108年 6月",6,1,1,4,0.23,8,0.30,6,6,0,0,100.00
"108年 7月",6,1,1,4,0.23,18,0.68,8,6,2,0,133.33
"108年 8月",9,2,4,2,0.34,11,0.42,8,6,2,0,88.89
"108年 9月",9,3,1,5,0.34,12,0.45,10,8,2,0,111.11
