township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
三星鄉,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,宜蘭縣三星鄉196縣道上(復興路三段與羅三公路交接處,啟用,1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣
牡丹鄉,牡丹溪流域,牡丹溪,120.8075833,22.1448611,230152.84,2449608.71,佳德橋,停用,1723,佳德橋,"Jade Bridge",屏東縣
牡丹鄉,四重溪流域,四重溪,120.7797222,22.1537222,227280.47,2450593.73,佳洛峝橋,停用,1722,佳洛峝橋,"Jialuoqiao Bridge",屏東縣
大樹區,高屏溪流域,高屏溪,120.4358333,22.6876111,192033.09,2509802.14,高屏溪攔河堰,停用,1721,高屏溪攔河堰,"Gaoping River Dike",高雄市
小港區,東港溪流域,東港溪,120.4617222,22.5046944,194620.06,2489537.76,屏東縣新園鄉港西村台27線76公里處,停用,1720,港西抽水站(入庫溪流),"Gangci Pomping Station",高雄市
鳥松區,高屏溪流域,高屏溪,120.4316944,22.6516667,191592.60,2505823.56,九曲堂抽水站,停用,1719,九曲堂抽水站,"Jioucyutang drainage pump station",高雄市
內門區,高屏溪流域,旗山溪,120.4722778,22.9174444,195868.61,2535238.62,圓潭子隧道出口,停用,1718,圓潭子隧道出口,"Yuantanzi tunnel",高雄市
燕巢區,阿公店溪流域,阿公店溪,120.3615833,22.8032222,184459.01,2522635.13,高雄市燕巢區西燕村紅山巷(高29-1線0.6公里處),停用,1717,蓬萊橋(入庫溪流),"Agongdian River",高雄市
燕巢區,阿公店溪流域,阿公店溪,120.3580278,22.8312222,184107.46,2525737.30,新尖大橋,停用,1716,新尖大橋,"Shinjian Bridge",高雄市
官田區,曾文溪流域,曾文溪,120.5024167,23.2290556,199077.63,2569734.70,曾文三橋,停用,1715,曾文三橋,"Zengwun Bridge No. 3",臺南市
南化區,曾文溪流域,菜寮溪,120.4957222,23.0589444,198327.34,2550899.30,鏡面二號橋,停用,1714,鏡面二號橋,"Jingmian Bridge No. 2",臺南市
南化區,曾文溪流域,後堀溪,120.5973056,23.1733889,208771.56,2563540.21,瑞峰國小(旁無名橋),停用,1713,瑞峰國小(旁無名橋),"Rueifong Elementary School",臺南市
白河區,急水溪流域,白水溪,120.4802222,23.3461389,196852.72,2582708.48,白水溪橋,停用,1712,白水溪橋,"Baishui River Bridge",臺南市
大埔鄉,曾文溪流域,曾文溪,120.6134361,23.3296306,210469.12,2580837.66,沙崙橋,停用,1711,沙崙橋,"Shalun Bridge",嘉義縣
