選課代號,班級,永久課號,科目名稱,學分,授課時數,必/選,授課教師,教室,修課人數,人數上限,上課時間	
 0896	 四子一甲	 222C00135	 物理(二)	 3.0	 3.0	 必修	 劉志益	 育501	 55	 80	 (四)5-7
 0897	 四子一甲	 222C00140	 微積分(二)	 3.0	 3.0	 必修	 丁信文	 資701	 80	 80	 (二)2-4
 0898	 四子一甲	 222C00101	 電子實習(一)	 2.0	 4.0	 必修	 劉志益	 資401	 55	 60	 (一)5-8
 0899	 四子一甲	 222C00165	 電子學(一)	 3.0	 3.0	 必修	 劉淑白	 育502	 67	 80	 (五)5-7
 0900	 四子一甲	 222C00156	 電路學(一)	 3.0	 3.0	 必修	 劉淑白	 育502	 84	 80	 (三)2-4
 0901	 四子一甲	 222C00143	 計算機程式設計	 3.0	 3.0	 必修	 潘天賜	 資501A	 54	 55	 (五)2-4
 0902	 四子一甲	 222C10179	 程式語言實習(二)	 1.0	 2.0	 選修	 劉炳宏	 資001	 29	 70	 (三)7-8
 3785	 四子一甲	 041C00177	 中文閱讀與表達(二)	 2.0	 2.0	 必修	 邵詩淳	 育103	 52	 55	 (二)5-6
 4314	 四子一甲	 043C00005	 實用英文(二)	 2.0	 2.0	 必修	 王佩玲	 育204	 33	 0	 (二)7-8
 4608	 四子一甲	 050C00036	 體育(二)	 0	 2.0	 必修	 黃盈晨		 49	 40	 (四)3-4
 0902	 四子一乙	 222C10179	 程式語言實習(二)	 1.0	 2.0	 選修	 劉炳宏	 資001	 29	 70	 (三)7-8
 0903	 四子一乙	 222C00135	 物理(二)	 3.0	 3.0	 必修	 邱建良	 育502	 72	 80	 (四)5-7
 0904	 四子一乙	 222C00140	 微積分(二)	 3.0	 3.0	 必修	 楊素華	 育202	 56	 56	 (一)2-4
 0905	 四子一乙	 222C00101	 電子實習(一)	 2.0	 4.0	 必修	 張萬榮	 資401	 52	 60	 (四)1-4
 0906	 四子一乙	 222C00165	 電子學(一)	 3.0	 3.0	 必修	 周肇基	 育501	 75	 80	 (三)2-4
